H,R,T
small_molecule-05973,protect,disease-3797
small_molecule-06009,show,hpo-02547
small_molecule-06052,use,hpo-03925
small_molecule-06052,use,hpo-13387
small_molecule-06067,demonstr,hpo-12857
small_molecule-06110,feature,hpo-03646
small_molecule-06162,activate,hpo-03634
small_molecule-06162,cause,hpo-03925
small_molecule-06162,risk,hpo-03925
small_molecule-06205,demonstr,hpo-12950
small_molecule-06205,demonstr,hpo-13528
small_molecule-06205,use,hpo-03925
small_molecule-06207,cause,drug-13765
small_molecule-06207,cause,hpo-13006
small_molecule-06207,cause,hpo-13528
small_molecule-06207,prevent,hpo-03630
small_molecule-06207,prevent,hpo-05006
small_molecule-06207,prevent,hpo-08548
small_molecule-06207,prevent,hpo-12857
small_molecule-06207,prevent,hpo-13006
small_molecule-06207,prevent,hpo-13496
small_molecule-06207,prevent,hpo-13528
small_molecule-06207,reduce,hpo-12857
small_molecule-06207,reduce,hpo-13006
small_molecule-06207,reduce,hpo-13528
small_molecule-06275,produce,hpo-13280
small_molecule-06275,regulate,hpo-03925
small_molecule-06275,treat,small_molecule-11291
small_molecule-06322,cause,drug-01528
small_molecule-06322,cause,hpo-10098
small_molecule-06322,disrupt,drug-01528
small_molecule-06357,cause,hpo-13303
small_molecule-06357,contain,hpo-03528
small_molecule-06357,contain,hpo-13303
small_molecule-06357,treat,hpo-03925
small_molecule-06399,develop,hpo-03925
small_molecule-06444,cause,small_molecule-13812
small_molecule-06444,change,gene-06247
small_molecule-06497,cause,hpo-12658
small_molecule-06497,cause,hpo-12857
small_molecule-06497,cause,hpo-13280
small_molecule-06497,demonstr,hpo-03925
small_molecule-06497,show,hpo-03925
small_molecule-06497,show,hpo-13303
small_molecule-06525,activate,hpo-03925
small_molecule-06525,associate,small_molecule-53521
small_molecule-06525,conside,small_molecule-53521
small_molecule-06560,produce,hpo-03925
small_molecule-06565,activate,gene-05708
small_molecule-06641,activate,hpo-00016
small_molecule-06641,provid,hpo-12857
small_molecule-06649,affect,hpo-12851
small_molecule-06649,cause,hpo-09081
small_molecule-06649,cause,hpo-12470
small_molecule-06649,develop,hpo-03632
small_molecule-06649,produce,hpo-12952
small_molecule-06666,detect,hpo-03925
small_molecule-06666,improve,hpo-03925
small_molecule-06666,treat,hpo-03925
small_molecule-06666,treat,hpo-12856
small_molecule-06666,treat,hpo-12857
small_molecule-06684,treat,hpo-03925
small_molecule-06702,produce,hpo-13514
small_molecule-06711,treat,small_molecule-21610
small_molecule-06748,associate,hpo-04112
small_molecule-06748,improve,small_molecule-11291
small_molecule-06748,reduce,hpo-04152
small_molecule-06748,reduce,hpo-12857
small_molecule-06752,cause,hpo-03858
small_molecule-06752,cause,hpo-03925
small_molecule-06752,expression,small_molecule-53521
small_molecule-06752,reduce,hpo-03897
small_molecule-06752,regulate,small_molecule-02847
small_molecule-06762,evalu,hpo-03747
small_molecule-06771,cause,hpo-03549
small_molecule-06771,expression,hpo-03925
small_molecule-06771,expression,hpo-12847
small_molecule-06771,maintain,hpo-03925
small_molecule-06771,maintain,hpo-13303
small_molecule-06771,maintain,small_molecule-11658
small_molecule-06771,patholog,hpo-13495
small_molecule-06782,cause,hpo-12857
small_molecule-06782,prevent,hpo-03925
small_molecule-06845,affect,hpo-03925
small_molecule-06845,affect,hpo-12950
small_molecule-06845,affect,hpo-13631
small_molecule-06845,affect,small_molecule-11291
small_molecule-06845,associate,hpo-03165
small_molecule-06845,associate,hpo-03528
small_molecule-06845,associate,hpo-03925
small_molecule-06845,associate,hpo-04112
small_molecule-06845,associate,hpo-04141
small_molecule-06845,associate,hpo-12945
small_molecule-06845,associate,hpo-12952
small_molecule-06845,associate,hpo-13003
small_molecule-06845,associate,hpo-13303
small_molecule-06845,cause,disease-3908
small_molecule-06845,cause,hpo-02571
small_molecule-06845,cause,hpo-03632
small_molecule-06845,cause,hpo-03925
small_molecule-06845,cause,hpo-12470
small_molecule-06845,cause,hpo-12945
small_molecule-06845,cause,hpo-12950
small_molecule-06845,cause,hpo-13265
small_molecule-06845,cause,hpo-13303
small_molecule-06845,cause,small_molecule-11313
small_molecule-06845,cause,small_molecule-53880
small_molecule-06845,conside,disease-0279
small_molecule-06845,conside,hpo-03925
small_molecule-06845,conside,hpo-04112
small_molecule-06845,develop,hpo-03925
small_molecule-06845,develop,hpo-08236
small_molecule-06845,disrupt,hpo-02571
small_molecule-06845,expression,hpo-13474
small_molecule-06845,generate,hpo-08236
small_molecule-06845,increase,hpo-03925
small_molecule-06845,increase,hpo-04141
small_molecule-06845,increase,hpo-10098
small_molecule-06845,increase,hpo-13303
small_molecule-06845,initi,hpo-12470
small_molecule-06845,occur,hpo-13303
small_molecule-06845,occur,hpo-13647
small_molecule-06845,patholog,hpo-03634
small_molecule-06845,patholog,hpo-03719
small_molecule-06845,patholog,hpo-03925
small_molecule-06845,patholog,hpo-07332
small_molecule-06845,patholog,hpo-12857
small_molecule-06845,patholog,hpo-12945
small_molecule-06845,patholog,hpo-13303
small_molecule-06845,patholog,small_molecule-11291
small_molecule-06845,produce,hpo-13631
small_molecule-06845,reduce,hpo-03925
small_molecule-06845,regulate,hpo-03925
small_molecule-06845,regulate,hpo-12949
small_molecule-06845,treat,hpo-03634
small_molecule-06845,treat,hpo-10127
small_molecule-06848,cause,hpo-13596
small_molecule-06848,reduce,hpo-03925
small_molecule-06848,reduce,hpo-08875
small_molecule-06873,develop,hpo-03925
small_molecule-06873,encode,hpo-12857
small_molecule-06873,inhibit,gene-00299
small_molecule-06873,reduce,hpo-12407
small_molecule-06873,reduce,hpo-12857
small_molecule-06894,increase,gene-03842
small_molecule-06896,act,hpo-13303
small_molecule-06896,affect,hpo-13006
small_molecule-06896,cause,hpo-03720
small_molecule-06896,cause,hpo-07292
small_molecule-06896,cause,hpo-13303
small_molecule-06896,change,hpo-13006
small_molecule-06896,detect,hpo-03925
small_molecule-06896,observe,hpo-13647
small_molecule-06896,prevent,hpo-07332
small_molecule-06896,prevent,hpo-13303
small_molecule-06913,stimul,hpo-03925
small_molecule-06913,stimul,hpo-04112
small_molecule-06913,stimul,hpo-04141
small_molecule-06913,stimul,hpo-13528
small_molecule-06955,treat,small_molecule-12352
small_molecule-06955,treat,small_molecule-55905
small_molecule-06996,cause,hpo-03634
small_molecule-06996,patholog,hpo-12950
small_molecule-07020,affect,hpo-13514
small_molecule-07020,reduce,hpo-13303
small_molecule-07063,associate,hpo-03925
small_molecule-07063,associate,hpo-13647
small_molecule-07066,affect,hpo-03404
small_molecule-07066,affect,hpo-03528
small_molecule-07066,affect,hpo-05245
small_molecule-07066,affect,hpo-06802
small_molecule-07066,affect,hpo-13080
small_molecule-07066,associate,hpo-03925
small_molecule-07066,associate,hpo-13303
small_molecule-07066,cause,hpo-12952
small_molecule-07066,cause,hpo-13003
small_molecule-07066,cause,small_molecule-02137
small_molecule-07066,enhance,hpo-03630
small_molecule-07066,improve,hpo-13303
small_molecule-07066,prevent,hpo-03925
small_molecule-07066,regulate,disease-0484
small_molecule-07066,risk,hpo-03925
small_molecule-07066,treat,small_molecule-02847
small_molecule-07236,associate,hpo-12857
small_molecule-07244,affect,hpo-03925
small_molecule-07244,affect,hpo-04141
small_molecule-07244,cause,hpo-03461
small_molecule-07246,occur,hpo-03528
small_molecule-07249,cause,hpo-03646
small_molecule-07249,cause,hpo-12407
small_molecule-07262,activate,hpo-03925
small_molecule-07262,associate,hpo-03925
small_molecule-07262,associate,hpo-12855
small_molecule-07262,associate,hpo-12949
small_molecule-07262,cause,hpo-13303
small_molecule-07262,change,hpo-13006
small_molecule-07262,patholog,hpo-13303
small_molecule-07327,expression,gene-02192
small_molecule-07327,show,hpo-12733
small_molecule-07382,control,hpo-13303
small_molecule-07382,generate,hpo-03897
small_molecule-07382,generate,hpo-03901
small_molecule-07392,associate,hpo-13006
small_molecule-07392,increase,hpo-13066
small_molecule-07490,inhibit,gene-25215
small_molecule-07490,regulate,gene-05736
small_molecule-07490,regulate,gene-25215
small_molecule-07509,inhibit,hpo-03925
small_molecule-07693,cause,hpo-03461
small_molecule-07693,cause,hpo-03528
small_molecule-07693,cause,hpo-03925
small_molecule-07693,cause,hpo-13309
small_molecule-07693,expression,hpo-04720
small_molecule-07693,produce,hpo-03925
small_molecule-07776,associate,hpo-03925
small_molecule-07776,associate,hpo-13303
small_molecule-07881,affect,hpo-13474
small_molecule-07881,production,hpo-12857
small_molecule-07881,treat,hpo-09698
small_molecule-07908,increase,gene-03842
small_molecule-08130,activate,hpo-12824
small_molecule-08130,cause,hpo-13265
small_molecule-08174,reduce,hpo-12857
small_molecule-08207,use,hpo-03925
small_molecule-08207,use,hpo-12856
small_molecule-08210,patholog,small_molecule-10507
small_molecule-08245,associate,hpo-03925
small_molecule-08245,associate,small_molecule-08566
small_molecule-08328,cause,hpo-03925
small_molecule-08328,marker,small_molecule-11291
small_molecule-08346,affect,hpo-00016
small_molecule-08346,reduce,hpo-03549
small_molecule-08346,reduce,hpo-03646
small_molecule-08346,reduce,hpo-10098
small_molecule-08346,reduce,hpo-12832
small_molecule-08347,associate,gene-00360
small_molecule-08347,associate,gene-16555
small_molecule-08347,associate,hpo-02556
small_molecule-08347,associate,hpo-03722
small_molecule-08347,associate,hpo-03925
small_molecule-08347,associate,hpo-08856
small_molecule-08347,associate,small_molecule-34508
small_molecule-08347,confer,gene-04760
small_molecule-08347,gene,hpo-03925
small_molecule-08347,gene,hpo-12857
small_molecule-08347,gene,small_molecule-34508
small_molecule-08347,gene,small_molecule-53521
small_molecule-08347,increase,small_molecule-35663
small_molecule-08347,marker,hpo-12817
small_molecule-08347,predict,hpo-12817
small_molecule-08347,reduce,gene-00360
small_molecule-08347,risk,hpo-03858
small_molecule-08347,risk,hpo-03925
small_molecule-08414,identifi,hpo-03925
small_molecule-08428,affect,hpo-13528
small_molecule-08431,improve,hpo-03634
small_molecule-08431,reverse,hpo-03634
small_molecule-08468,cause,hpo-03925
small_molecule-08468,provid,hpo-03528
small_molecule-08470,activate,hpo-03528
small_molecule-08470,affect,hpo-03925
small_molecule-08470,associate,disease-0411
small_molecule-08470,associate,hpo-02571
small_molecule-08470,associate,hpo-03528
small_molecule-08470,associate,hpo-03925
small_molecule-08470,cause,disease-0279
small_molecule-08470,cause,disease-3797
small_molecule-08470,cause,hpo-03528
small_molecule-08470,cause,hpo-03549
small_molecule-08470,cause,hpo-03632
small_molecule-08470,cause,hpo-03858
small_molecule-08470,cause,hpo-03891
small_molecule-08470,cause,hpo-03925
small_molecule-08470,cause,hpo-04141
small_molecule-08470,cause,hpo-09698
small_molecule-08470,cause,hpo-12834
small_molecule-08470,cause,small_molecule-08566
small_molecule-08470,change,hpo-03925
small_molecule-08470,change,hpo-12834
small_molecule-08470,change,small_molecule-08566
small_molecule-08470,change,small_molecule-21610
small_molecule-08470,depend,hpo-03925
small_molecule-08470,enhance,hpo-03925
small_molecule-08470,expression,hpo-03634
small_molecule-08470,feature,hpo-03925
small_molecule-08470,generate,hpo-03925
small_molecule-08470,improve,hpo-03925
small_molecule-08470,increase,disease-0411
small_molecule-08470,increase,hpo-03549
small_molecule-08470,increase,hpo-03632
small_molecule-08470,increase,hpo-03925
small_molecule-08470,increase,hpo-13303
small_molecule-08470,increase,hpo-13514
small_molecule-08470,increase,small_molecule-53521
small_molecule-08470,initi,hpo-03861
small_molecule-08470,initi,hpo-03925
small_molecule-08470,interact,hpo-12857
small_molecule-08470,marker,disease-0279
small_molecule-08470,marker,hpo-03925
small_molecule-08470,observe,hpo-03925
small_molecule-08470,occur,hpo-03528
small_molecule-08470,occur,hpo-04141
small_molecule-08470,patholog,hpo-03925
small_molecule-08470,prevent,disease-3797
small_molecule-08470,prevent,small_molecule-53521
small_molecule-08470,reduce,hpo-03897
small_molecule-08470,regulate,disease-3797
small_molecule-08470,regulate,hpo-03528
small_molecule-08470,regulate,hpo-03634
small_molecule-08470,regulate,hpo-03925
small_molecule-08470,regulate,hpo-12817
small_molecule-08470,show,hpo-12834
small_molecule-08470,signal,hpo-03528
small_molecule-08470,signal,hpo-03925
small_molecule-08470,signal,hpo-13303
small_molecule-08470,treat,hpo-03632
small_molecule-08470,treat,hpo-03897
small_molecule-08470,treat,hpo-03925
small_molecule-08480,develop,hpo-03925
small_molecule-08480,patholog,hpo-12949
small_molecule-08481,affect,disease-0159
small_molecule-08481,affect,hpo-06797
small_molecule-08481,cause,hpo-03925
small_molecule-08481,depend,hpo-13301
small_molecule-08481,expression,hpo-03632
small_molecule-08481,inhibit,hpo-03925
small_molecule-08481,observe,hpo-03925
small_molecule-08481,production,hpo-03925
small_molecule-08481,regulate,hpo-00016
small_molecule-08540,associate,hpo-04141
small_molecule-08540,associate,hpo-12857
small_molecule-08540,associate,hpo-13528
small_molecule-08540,increase,hpo-12857
small_molecule-08543,increase,hpo-12857
small_molecule-08543,observe,hpo-03925
small_molecule-08547,cause,hpo-04141
small_molecule-08566,associate,drug-11123
small_molecule-08566,associate,gene-00175
small_molecule-08566,associate,gene-09014
small_molecule-08566,cause,hpo-03630
small_molecule-08566,cause,hpo-04112
small_molecule-08566,cause,hpo-08335
small_molecule-08566,cause,hpo-13303
small_molecule-08566,cause,small_molecule-28593
small_molecule-08566,change,gene-00608
small_molecule-08566,change,gene-00942
small_molecule-08566,control,hpo-12641
small_molecule-08566,demonstr,gene-01319
small_molecule-08566,demonstr,gene-04267
small_molecule-08566,demonstr,hpo-13307
small_molecule-08566,expression,gene-03472
small_molecule-08566,expression,gene-13512
small_molecule-08566,feature,hpo-08335
small_molecule-08566,focus,gene-09014
small_molecule-08566,have,small_molecule-11318
small_molecule-08566,increase,gene-00488
small_molecule-08566,increase,gene-03842
small_molecule-08566,increase,gene-05608
small_molecule-08566,increase,hpo-03528
small_molecule-08566,increase,small_molecule-06845
small_molecule-08566,increase,small_molecule-08654
small_molecule-08566,inhibit,drug-08462
small_molecule-08566,inhibit,small_molecule-12347
small_molecule-08566,maintain,gene-00619
small_molecule-08566,reduce,gene-00488
small_molecule-08566,regulate,gene-01890
small_molecule-08566,regulate,gene-02667
small_molecule-08641,associate,gene-01162
